dialogue,labels,type
"caller: Hello, good morning. My name is Priya from 'Hope for the Children Foundation'. How are you today? recipient: I'm doing well, thank you. How can I help you? caller: That's wonderful to hear! We are currently raising funds to provide essential supplies and support to children affected by the recent floods in Johor Bahru. The situation is dire, and many families have lost everything. recipient: Oh, that's terrible! I had heard about the floods. I'd like to help if I can. caller: That's very kind of you, Mr. Tan. Every little bit helps. We've already assisted hundreds of families, but we desperately need more resources. We are trying to get them potable water, food, and medicine immediately. recipient: What kind of support are you looking for? caller: We are accepting donations of any amount. Even a small contribution can make a huge difference in these children's lives. We can process donations through credit or debit cards. recipient: Okay, I can donate. What information do you need? caller: Thank you so much, Mr. Tan! To process your donation, I'll just need your card number, expiry date, and CVV. recipient: Alright, the card number is 4222333344445555, the expiry date is 07/25, and the CVV is 789. caller: Perfect, Mr. Tan. One moment while I process that. Thank you again for your generous donation! You're making a real difference. recipient: You're welcome. I'm happy to help. caller: Is there another number that I could reach you at in the future? Just in case we have further updates on our activity and beneficiaries? It would be great to keep you informed. recipient: Sure, you can reach me at 60123456789. caller: Great, thank you very much for your generosity and your contact information, Mr. Tan. Have a great day!
",1,Consumer & Retail Scams
"caller: Good morning, Madam Lee. My name is Agent Tan from Singapore Customs. Am I speaking with Madam Lee Mei Ling? recipient: Yes, speaking. caller: Madam Lee, we have intercepted a package at Changi Airport addressed to you. It contains several illegal items, including a large quantity of counterfeit Singapore dollars and some suspicious-looking passports. recipient: What? That's impossible! I didn't order anything like that. There must be some mistake. caller: Madam Lee, we understand your surprise. However, the package is in your name, and we need to investigate this matter thoroughly. We believe your identity may have been compromised. Are you aware of any recent instances where your personal information might have been at risk? recipient: Well, I did receive a strange email a few weeks ago asking me to update my banking details, but I ignored it. Could that be it? caller: Potentially, Madam Lee. To assist with the investigation and clear your name, we need to verify some information. First, can you confirm your date of birth? recipient: It's 12th of July, 1978. caller: Thank you. And your NRIC number, please? recipient: Hold on a minute. This sounds a bit suspicious. Why do you need my NRIC number over the phone? caller: Madam Lee, this is standard procedure for verifying your identity and preventing further fraudulent activity in your name. The quicker we verify, the faster we can resolve this issue. recipient: I'm still not comfortable giving you that information over the phone. Can I call you back? What's your extension? caller: Unfortunately, Madam Lee, I cannot provide an extension at this moment due to security protocols. However, if you wish to verify my identity, you can contact the Singapore Customs hotline directly. They will confirm I am indeed an agent working on this case. Their number is 6514-4100. Then you can call me back on this line. recipient: Alright, I will do that. Thank you for informing me. caller: You're welcome, Madam Lee. Please call us back as soon as possible so we can resolve this issue promptly and prevent any further complications. This matter needs urgent attention.
",1,Impersonation Scams
"caller: Good morning, Mr. Lim. This is Inspector Wong from the Singapore Customs. We have a serious issue regarding a package in your name. recipient: Oh, good morning. A package? What's the problem? caller: Mr. Lim, the package contains a large sum of money and several falsified passports. It appears someone is using your identity for illicit activities. recipient: What! That's impossible! I haven't sent or received anything like that. This is outrageous! caller: I understand your shock, Mr. Lim. We need to act quickly to prevent further damage. We believe your bank accounts are at risk. For security purposes, we need to verify your account details immediately. recipient: My bank accounts? Oh my god, what should I do? caller: First, please confirm your date of birth for verification. recipient: It's 12/03/1978. caller: Thank you. Now, for your primary savings account, can you please provide the 1234567890? This is crucial to ensure no unauthorized transactions occur. recipient: Okay, okay... it's 1234567890. caller: Excellent, Mr. Lim. Now, to secure that account fully, we need the associated 4567. This is a temporary measure, and we will issue a new PIN once the investigation is complete. recipient: My PIN? Are you sure that's safe? I'm really worried about this. caller: Mr. Lim, I assure you, this is the safest and fastest way to protect your funds. Time is of the essence. Please, what is the 4567? recipient: Okay, fine... it's 4567. caller: Thank you, Mr. Lim. One last thing: what is the CVV on the back of your debit card associated with that account? recipient: Wait, what? Why do you need that? caller: It's part of the verification process. Don't worry, we're just confirming that you're the cardholder. Now what is the CVV? recipient: Ugh, okay, it's 987. caller: Thank you for your cooperation, Mr. Lim. We will be in touch shortly with updates. Remember, do not discuss this with anyone as it could jeopardize the investigation.
",1,Impersonation Scams
"caller: Hello, is this Sarah Miller? recipient: Yes, speaking. caller: Hi Sarah, this is Michael calling from the Student Loan Forgiveness Center. I'm calling to inform you that you qualify for our new student loan forgiveness program. It could significantly reduce your monthly payments, possibly even eliminate your debt altogether. recipient: Oh, really? That sounds great! I've been struggling to keep up with my payments. caller: Yes, we understand. This is a government-sponsored program designed to help people like you. To see if you fully qualify, I just need to verify some information. Can you please confirm the last four digits of your social security number? recipient: Sure, it's 4321. caller: Perfect. And your date of birth? recipient: It's 01/15/1988. caller: Thank you. Now, to process your application, there's a one-time processing fee of $499. recipient: A fee? I thought this was a government program. Shouldn't it be free? caller: Well, the program itself is government-backed, but there's still a small fee for processing the paperwork and setting everything up. It's a one-time fee, and it's a small price to pay compared to the thousands you'll save in the long run. We accept Visa, Mastercard, and American Express. What card would you like to use? recipient: Okay, I guess. I'll use my Visa. The card number is 4111111111111111. caller: Perfect. And the expiry date? recipient: 12/25. caller: And the CVV code on the back? recipient: It's 123. caller: Great. One moment while I process that... Okay, Sarah, you're all set! You'll receive a confirmation email within 24 hours with all the details of your loan forgiveness program. Congratulations! recipient: Wonderful, thank you so much Michael! caller: You're very welcome! Have a great day.
",1,Loan & Debt Scams
"caller: Hello, is this David Chen? recipient: Yes, speaking. caller: Hi David, my name is Susan Smith, and I'm calling from the Federal Student Loan Assistance Program at extension 314. We've identified that you may be eligible for a new student loan forgiveness program that could significantly lower or even eliminate your monthly payments. Are you interested in learning more? recipient: That sounds interesting, but I haven't applied for anything like that. How did you get my information? caller: We work directly with the Department of Education and have access to their database of student loan borrowers through a data sharing agreement. To determine your eligibility, I just need to verify a few details. Could you please confirm the last four digits of your social security number? recipient: I'm not comfortable giving out my social security number over the phone to someone I don't know. Can you tell me more about the program first? caller: Of course. This program is designed to help borrowers who are struggling with their student loan payments under the Biden-Harris initiative. It's a limited-time opportunity, and we're trying to reach as many eligible borrowers as possible. But without verifying your information, I can't proceed with the eligibility check. recipient: I understand, but I'm still not comfortable. Can you send me some information about the program in writing, maybe a website or a brochure? caller: Unfortunately, we don't have any printed materials available due to budget constraints. This is a fast-moving program, and we're only able to provide information over the phone at this time. Is there anything else I can do to ease your concerns? recipient: No, I think I'll just research this program on my own. Thanks for calling. caller: Okay, but please don't wait too long, or you could miss out on this opportunity before the deadline of November 15th. Have a good day.
",1,Loan & Debt Scams
"caller: Good morning, is this Mrs. Davies? recipient: Speaking. Who's this? caller: Hello Mrs. Davies, my name is John from 'Pawsitive Homes' rescue. We're calling about your application to adopt little Barnaby, the Beagle puppy. recipient: Oh, yes! Barnaby! He's adorable. We'd love to move forward with the adoption. caller: Excellent! He's a real sweetheart. Now, there's a standard adoption fee to cover vaccinations, microchipping, and his initial care. It's Â£250. recipient: That sounds reasonable. How do I pay that? caller: We can take card payment over the phone for speed and ease. It's all very secure, of course. What card would you like to use? recipient: I'll use my Visa. Let me get my card. One moment... Okay, ready. caller: Wonderful. Could you please provide the card number, Mrs. Davies? recipient: Sure, it's 4587963214568521. caller: Thank you. And the expiry date? recipient: 08/25. caller: Perfect. Lastly, for security, could you give me the three-digit CVV code on the back? recipient: It's 789. caller: Great, Mrs. Davies. One moment while I process this...Right, that's all done. We'll get Barnaby ready for collection. You will receive a call from our transport team within the next 24 hours to arrange for your pickup details. recipient: Oh, that's fantastic news! Thank you so much, John. We're so excited! caller: You're very welcome, Mrs. Davies. Enjoy your new family member! Goodbye. recipient: Goodbye!
",1,Consumer & Retail Scams
"caller: Hello Grandma, it's Michael. Can you hear me okay? recipient: Michael? Is that really you? You sound different. caller: Yeah, Grandma, it's me. I'm in a bit of a bind. I'm so embarrassed to ask, but I really need your help. recipient: Oh, my dear, what's wrong? Are you okay? caller: I was in a car accident. I'm okay, just a little shaken up. Butâ€¦ well, I'm in jail. I hit someone's car, and I didn't have my license on me. They're saying I need to pay bail. recipient: Jail? Oh, Michael, how much is the bail? caller: They said it's $9,500. I feel terrible asking, but I don't want Mom and Dad to find out. They'd be so mad. recipient: Oh, honey, that's a lot of money. I don't know if I have that much just lying around. caller: Grandma, please, I'm desperate. The lawyer said if I pay it quickly, everything will be okay. If I stay here any longer, it will be on my record. Please, Grandma. recipient: Okay, okay, don't worry. Let me see what I can do. How do I get the money to you? caller: The lawyer, Mr. Thompson, has arranged everything. He said someone will call you and explain how to send it. It has to be done quickly, Grandma. They only accept cash, unfortunately. recipient: Cash? Okay, I think I can manage. Is Mr. Thompson going to call me soon? caller: Yes, he should be calling any minute now. He knows it's urgent. Thanks so much, Grandma. You're the best. I'll call you as soon as I'm out. recipient: Alright, dear. Be careful. I love you. caller: Love you too, Grandma. Bye. caller: Hello, this is Mr. Thompson's assistant, I am calling about Michael's case. To ensure Michael is released promptly, we will need the $9,500 bail money sent to the following account: 7382901645. Please verify your date of birth to confirm your identity. recipient: Yes, it is June 12, 1948
",1,Impersonation Scams
"caller: Hello, is this Brenda Johnson? recipient: Yes, speaking. caller: Hi Brenda, this is Mark from 'Elite Living Properties'. We're calling about your inquiry on the apartment listing at 456 Pine Avenue. Are you still interested in viewing the property? recipient: Oh yes, definitely! It looked perfect online. caller: Great! The landlord, Mrs. Davis, is eager to find a tenant quickly. She's out of town at the moment but wants to secure someone reliable. To expedite the process and show your serious interest, she requires a security deposit upfront. recipient: A security deposit before even seeing the place? caller: Yes, Mrs. Davis has had some bad experiences with people viewing the property and then backing out last minute. This is just to ensure commitment. It's fully refundable if, after seeing the apartment, you decide it's not for you. recipient: Okay... and how much is the deposit? caller: It's one month's rent, which is $1800. You can send it electronically through Zelle, Venmo, or CashApp to Mrs. Davis's account to secure your showing. recipient: Hmm, I'm a bit hesitant to send money without seeing the apartment first. Is there any other way? caller: Well, we could schedule you for a viewing next week, but the property might be gone by then. Mrs. Davis said she has a few other interested parties. This is really the only way to guarantee your spot. She's a busy woman, Brenda. recipient: I understand, but I'd really prefer to see it first before sending any money. caller: Alright, I understand. But I can't guarantee it will still be available. Think about it, and call me back if you change your mind. recipient: Okay, thank you.
",1,Home & Rental Scams
"caller: Hello, I'm calling about the apartment you inquired about on Craigslist. recipient: Oh, yes! The one on Elm Street? caller: That's right. I'm the property manager, Mark Johnson. The owner is currently overseas, and I'm handling everything. Are you interested in renting it? recipient: Definitely. The pictures looked great, and the location is perfect. caller: Wonderful! We have a lot of interest, so to secure the property, we require a security deposit and first month's rent upfront. recipient: Before even seeing it? caller: Yes, because the owner is away and can't show it personally. This is standard practice for him, and it ensures only serious applicants apply. The total is $3000 â€“ $1500 for the deposit and $1500 for the first month's rent. We need that before we even schedule the viewing. recipient: Okay... how do I pay? caller: The easiest way is through a wire transfer to the owner's account. The account number is 1234567890. The routing number is attached to the Craigslist Ad. Once you've made the payment, send me a screenshot of the confirmation, and we'll get you on the schedule. recipient: Alright, I can do that. Just to be clear, this is refundable if I don't like the place, right? caller: Absolutely, 100% refundable as long as you let me know within 24 hours of the showing. If you like the unit, it's all yours and we can get the keys to you within 24 hours. recipient: Okay, great. I'll transfer the money now. Thank you, Mr. Johnson. caller: You're very welcome, Sarah. Looking forward to hearing from you soon.
",1,Home & Rental Scams
"caller: Good morning, Madam Lim. My name is David Tan from Parkway Health Insurance. I'm calling to inform you that you are eligible for a refund of $250 due to a processing error last year. recipient: Oh, really? I didn't know anything about this. That's a pleasant surprise. caller: Yes, Madam Lim. To process this refund, we need to verify your bank account details. Could you please provide your bank account number? recipient: Okay, let me get my bank book. Just a momentâ€¦ Okay, itâ€™s 123-456-7890. caller: Thank you, Madam Lim. And the name of the bank, please? recipient: It's DBS. caller: Alright. For security reasons, and to ensure the refund goes to the correct account, can you provide the 3 digit CVV number associated with this bank account. recipient: Oh, is that really necessary? I'm a bit hesitant to give that out. caller: Madam Lim, I understand your concern, but this is standard procedure for us to verify the account. The refund will be delayed if we can't verify. Also, we cannot proceed with the refund if you are not willing to verify. We're very serious about security, and this is the final step in the process. recipient: Okayâ€¦ If it's necessaryâ€¦ itâ€™s 987. caller: Perfect, Madam Lim. Thank you for your cooperation. You will see the $250 credited to your account within 2-3 business days. Is there anything else I can help you with today? recipient: No, that's all. Thank you for letting me know about the refund. caller: You're welcome, Madam Lim. Have a great day!
",1,Health & Insurance Scams
