Algorithm,Embedding,Type,C,kernel,gamma,y1_Accuracy,y1_F1_Score,y2_Accuracy,y2_F1_Score
SVM,SBERT,Test Set,0.1,linear,scale,0.9383333333333334,0.9383132066313509,0.7716666666666666,0.7398537251895666
SVM,SBERT,Test Set,0.1,linear,auto,0.9383333333333334,0.9383132066313509,0.7716666666666666,0.7398537251895666
SVM,SBERT,Test Set,0.1,rbf,scale,0.9383333333333334,0.9382980528523467,0.74,0.7017278097330215
SVM,SBERT,Test Set,0.1,rbf,auto,0.47,0.30054421768707484,0.47,0.30054421768707484
SVM,SBERT,Test Set,1.0,linear,scale,0.9666666666666667,0.9666729832462018,0.95,0.948866103743956
SVM,SBERT,Test Set,1.0,linear,auto,0.9666666666666667,0.9666729832462018,0.95,0.948866103743956
SVM,SBERT,Test Set,1.0,rbf,scale,0.9833333333333333,0.9833392761633089,0.9716666666666667,0.9712939894733745
SVM,SBERT,Test Set,1.0,rbf,auto,0.47,0.30054421768707484,0.47,0.30054421768707484
SVM,SBERT,Test Set,10.0,linear,scale,0.9766666666666667,0.9766617209027322,0.9766666666666667,0.9765761847706758
SVM,SBERT,Test Set,10.0,linear,auto,0.9766666666666667,0.9766617209027322,0.9766666666666667,0.9765761847706758
SVM,SBERT,Test Set,10.0,rbf,scale,0.985,0.9850064756196402,0.98,0.9797386974272975
SVM,SBERT,Test Set,10.0,rbf,auto,0.925,0.9248916266759086,0.68,0.6228006912455208
